Feature,ImportanceMean,ImportanceStd
TotalGoalsConcededAway,0.02286726719152472,0.00975688560823777
OddsFavourAway,0.01538919998864185,0.012112344515628141
AverageGoalsConcededAtAway,0.01223319661118114,0.008039293681065653
ShotsOnTargetDifference,0.009843979101870834,0.00719562710433872
Bet365DrawOdds,0.008619197838634667,0.011309369687388576
OddsFavourHome,0.007037870109460012,0.010943296616228336
HomeFifaAttack,0.006086398138157939,0.007329702355199147
DrawLikelihood,0.006081563004176305,0.0066791306725451525
FifaMidfieldDifference,0.0038623800116679846,0.006744893988769664
AwayForm,0.0032483843660895155,0.004923612281172627
TotalDrawsAway,0.0026438459515840925,0.004423690812814331
TotalWinsHome,0.0024408730867952395,0.009947481561062224
WinStreakAway,0.0024052794262724607,0.007852117381480346
HomeFifaDefence,0.002144727594936449,0.005045203703589491
EloTierAway,0.0007443978744117674,0.004846361452247081
GeneralFormDifference,0.0007435862638194096,0.009005823125318951
FifaOverallDifference,0.0004417638271839386,0.0053904888149172055
OddsFavourDraw,0.0,0.0
HFA,-0.00017841825812734135,0.0049153078716292
AverageGoalsScoredAtHome,-0.00022252815576224717,0.006098790138294558
AwayGeneralForm,-0.0005228070102001131,0.0050605416761051744
TotalGoalsConcededHome,-0.000645503849201498,0.005694470569034108
FifaDefenceDifference,-0.0009409976326889974,0.007266062432023596
EloTierHome,-0.0011726561826971404,0.003266096758789918
AverageGoalsScoredAtAway,-0.0012167294440100479,0.004570147795857937
AwayFifaDefence,-0.0021351568006309747,0.0049527283882132
TotalDrawsHome,-0.0021959454565402188,0.003481690537826656
AverageShotsOnTargetAtHome,-0.004096743366871211,0.00610488575402142
AverageGoalsConcededAtHome,-0.004210559927320887,0.006338038889716107
TotalGoalsScoredHome,-0.008220874845522374,0.008057697380374134
