EloTierHome,EloTierAway,Matchup,GoalMargin,Count
1,1,1 vs 1,0,8
1,1,1 vs 1,1,5
1,1,1 vs 1,2,3
1,1,1 vs 1,3,3
1,1,1 vs 1,4,1
1,1,1 vs 1,5,1
1,2,1 vs 2,0,14
1,2,1 vs 2,1,13
1,2,1 vs 2,2,12
1,2,1 vs 2,3,7
1,2,1 vs 2,4,2
1,2,1 vs 2,5,1
1,2,1 vs 2,7,1
1,3,1 vs 3,0,13
1,3,1 vs 3,1,27
1,3,1 vs 3,2,24
1,3,1 vs 3,3,13
1,3,1 vs 3,4,6
1,3,1 vs 3,5,6
1,3,1 vs 3,6,1
1,3,1 vs 3,7,1
1,4,1 vs 4,0,7
1,4,1 vs 4,1,21
1,4,1 vs 4,2,23
1,4,1 vs 4,3,11
1,4,1 vs 4,4,8
1,4,1 vs 4,5,3
1,4,1 vs 4,6,1
1,4,1 vs 4,7,1
1,4,1 vs 4,8,1
1,4,1 vs 4,9,1
2,1,2 vs 1,0,8
2,1,2 vs 1,1,21
2,1,2 vs 1,2,17
2,1,2 vs 1,3,5
2,1,2 vs 1,4,1
2,2,2 vs 2,0,13
2,2,2 vs 2,1,23
2,2,2 vs 2,2,19
2,2,2 vs 2,3,6
2,2,2 vs 2,4,1
2,2,2 vs 2,5,3
2,3,2 vs 3,0,23
2,3,2 vs 3,1,57
2,3,2 vs 3,2,24
2,3,2 vs 3,3,11
2,3,2 vs 3,4,9
2,3,2 vs 3,5,3
2,3,2 vs 3,6,2
2,3,2 vs 3,9,1
2,4,2 vs 4,0,24
2,4,2 vs 4,1,56
2,4,2 vs 4,2,34
2,4,2 vs 4,3,19
2,4,2 vs 4,4,6
2,4,2 vs 4,5,4
3,1,3 vs 1,0,17
3,1,3 vs 1,1,31
3,1,3 vs 1,2,24
3,1,3 vs 1,3,11
3,1,3 vs 1,4,3
3,1,3 vs 1,5,1
3,1,3 vs 1,6,1
3,1,3 vs 1,7,1
3,2,3 vs 2,0,32
3,2,3 vs 2,1,49
3,2,3 vs 2,2,30
3,2,3 vs 2,3,14
3,2,3 vs 2,4,7
3,2,3 vs 2,6,1
3,3,3 vs 3,0,57
3,3,3 vs 3,1,88
3,3,3 vs 3,2,48
3,3,3 vs 3,3,14
3,3,3 vs 3,4,9
3,3,3 vs 3,5,1
3,4,3 vs 4,0,61
3,4,3 vs 4,1,69
3,4,3 vs 4,2,48
3,4,3 vs 4,3,25
3,4,3 vs 4,4,7
3,4,3 vs 4,5,1
4,1,4 vs 1,0,15
4,1,4 vs 1,1,23
4,1,4 vs 1,2,14
4,1,4 vs 1,3,12
4,1,4 vs 1,4,6
4,1,4 vs 1,5,6
4,2,4 vs 2,0,38
4,2,4 vs 2,1,49
4,2,4 vs 2,2,21
4,2,4 vs 2,3,20
4,2,4 vs 2,4,2
4,2,4 vs 2,5,3
4,2,4 vs 2,6,1
4,3,4 vs 3,0,52
4,3,4 vs 3,1,88
4,3,4 vs 3,2,49
4,3,4 vs 3,3,22
4,3,4 vs 3,4,6
4,3,4 vs 3,5,1
4,3,4 vs 3,8,1
4,3,4 vs 3,9,1
4,4,4 vs 4,0,50
4,4,4 vs 4,1,69
4,4,4 vs 4,2,38
4,4,4 vs 4,3,22
4,4,4 vs 4,4,6
4,4,4 vs 4,5,6
