ActualPosition,Club,ActualPoints,SimulatedPosition,SimulatedPoints,PositionDifference
1,Man City,91,1,112,0
2,Arsenal,89,2,96,0
3,Liverpool,82,3,96,0
4,Aston Villa,68,7,74,3
5,Tottenham,66,6,79,1
6,Chelsea,63,4,80,-2
7,Man United,60,8,70,1
8,Newcastle,60,5,80,-3
9,West Ham,52,11,42,2
10,Crystal Palace,49,15,34,5
11,Bournemouth,48,12,42,1
12,Brighton,48,9,64,-3
13,Everton,48,10,46,-3
14,Fulham,47,13,41,-1
15,Wolves,46,17,28,2
16,Brentford,39,14,39,-2
17,Nott'm Forest,36,16,28,-1
18,Luton,26,19,7,1
19,Burnley,24,18,14,-1
20,Sheffield United,16,20,4,0
